Sales Person,Country,Product,Date,Amount,Boxes Shipped
Dennison Crosswaite,Australia,70% Dark Bites,7-Feb-22,749,23
Karlen McCaffrey,USA,Orange Choco,12-May-22,777,24
Madelene Upcott,Australia,Spicy Special Slims,7-Mar-22,784,24
Dennison Crosswaite,Australia,85% Dark Bars,5-Apr-22,784,24
Andria Kimpton,Canada,Caramel Stuffed Bars,3-Jan-22,791,24
Dennison Crosswaite,UK,Eclairs,24-Mar-22,819,24
Madelene Upcott,India,Raspberry Choco,7-Jul-22,826,24
Van Tuxwell,USA,After Nines,26-Jul-22,840,24
Wilone O'Kielt,Australia,Organic Choco Syrup,7-Jul-22,854,24
Karlen McCaffrey,Canada,50% Dark Bites,15-Jul-22,854,24
Roddy Speechley,New Zealand,Orange Choco,1-Apr-22,854,24
Beverie Moffet,Australia,Eclairs,20-Jun-22,868,25
Kelci Walkden,UK,Fruit & Nut Bars,29-Jun-22,889,26
Marney O'Breen,USA,50% Dark Bites,15-Jun-22,910,26
Husein Augar,USA,After Nines,8-Apr-22,910,26
Dennison Crosswaite,Australia,Raspberry Choco,14-Mar-22,938,26
Andria Kimpton,USA,Fruit & Nut Bars,15-Jul-22,938,27
Kelci Walkden,India,Eclairs,19-Apr-22,945,27
Marney O'Breen,USA,99% Dark & Pure,28-Mar-22,952,27
Brien Boise,Canada,Spicy Special Slims,4-Mar-22,952,27
Karlen McCaffrey,New Zealand,70% Dark Bites,2-Aug-22,959,27
Husein Augar,UK,Spicy Special Slims,25-Aug-22,966,27
Marney O'Breen,USA,Almond Choco,25-Feb-22,973,27
Kelci Walkden,India,Orange Choco,7-Jun-22,980,27
Jan Morforth,India,Spicy Special Slims,12-Apr-22,987,28
Ches Bonnell,India,Spicy Special Slims,6-Jul-22,994,28
Kelci Walkden,UK,Smooth Sliky Salty,19-Jan-22,994,29
Madelene Upcott,Australia,Fruit & Nut Bars,5-Jan-22,994,29
Madelene Upcott,Canada,70% Dark Bites,24-Jan-22,1015,30
Wilone O'Kielt,Australia,Drinking Coco,6-Apr-22,1029,30
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-Jun-22,1036,30
Gigi Bohling,Canada,Baker's Choco Chips,28-Jan-22,1043,30
Kelci Walkden,India,Caramel Stuffed Bars,16-Mar-22,1043,30
Rafaelita Blaksland,Australia,Drinking Coco,21-Feb-22,1064,31
Kelci Walkden,USA,Manuka Honey Choco,16-Feb-22,1064,31
Jehu Rudeforth,Canada,Spicy Special Slims,13-Jan-22,1085,31
Kelci Walkden,Australia,Eclairs,23-Mar-22,1099,31
Curtice Advani,Canada,Spicy Special Slims,16-Jun-22,1127,31
Oby Sorrel,India,Raspberry Choco,14-Apr-22,1127,32
Kelci Walkden,UK,Eclairs,25-Jan-22,1141,32
Jan Morforth,India,Almond Choco,11-Mar-22,1141,32
Dotty Strutley,UK,Almond Choco,28-Jul-22,1155,33
Marney O'Breen,New Zealand,After Nines,9-Mar-22,1155,33
Husein Augar,Australia,Orange Choco,28-Jun-22,1162,33
Marney O'Breen,Australia,Milk Bars,28-Jul-22,1162,34
Kelci Walkden,Canada,99% Dark & Pure,15-Aug-22,1190,35
Kaine Padly,Australia,Manuka Honey Choco,12-Jan-22,1197,37
Beverie Moffet,New Zealand,White Choc,24-Mar-22,1218,37
Van Tuxwell,UK,Milk Bars,25-Jul-22,1218,38
Oby Sorrel,Canada,99% Dark & Pure,1-Aug-22,1225,38
Van Tuxwell,India,Organic Choco Syrup,16-May-22,1232,38
Roddy Speechley,India,Smooth Sliky Salty,10-Aug-22,1232,38
Jan Morforth,India,Eclairs,5-Jan-22,1260,39
Ches Bonnell,UK,Smooth Sliky Salty,11-Jul-22,1267,40
Wilone O'Kielt,USA,After Nines,25-Apr-22,1267,40
Gigi Bohling,New Zealand,Fruit & Nut Bars,4-Apr-22,1267,40
Barr Faughny,USA,Raspberry Choco,12-Apr-22,1274,40
Wilone O'Kielt,New Zealand,85% Dark Bars,2-Aug-22,1288,41
Gigi Bohling,New Zealand,Manuka Honey Choco,28-Jun-22,1288,41
Ches Bonnell,Australia,Eclairs,5-Jul-22,1288,41
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,7-Jun-22,1302,42
Brien Boise,New Zealand,Smooth Sliky Salty,18-Jan-22,1309,42
Brien Boise,Australia,Baker's Choco Chips,4-Jan-22,1309,42
Dennison Crosswaite,Australia,99% Dark & Pure,31-Jan-22,1316,42
Kelci Walkden,India,Almond Choco,14-Mar-22,1351,42
Camilla Castle,Australia,70% Dark Bites,29-Apr-22,1358,42
Oby Sorrel,India,Smooth Sliky Salty,7-Feb-22,1365,42
Kaine Padly,UK,Organic Choco Syrup,31-Mar-22,1372,42
Marney O'Breen,India,Caramel Stuffed Bars,16-Mar-22,1372,43
Karlen McCaffrey,UK,Eclairs,25-Jan-22,1372,43
Van Tuxwell,India,Baker's Choco Chips,20-Jun-22,1379,44
Gigi Bohling,UK,After Nines,29-Mar-22,1379,44
Curtice Advani,Australia,Orange Choco,12-Jul-22,1379,44
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-Jul-22,1393,44
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-Jan-22,1400,44
Andria Kimpton,USA,85% Dark Bars,5-Apr-22,1414,44
Jehu Rudeforth,Canada,Milk Bars,21-Feb-22,1421,45
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-May-22,1428,45
Mallorie Waber,Australia,Milk Bars,29-Jul-22,1435,45
Barr Faughny,USA,Fruit & Nut Bars,28-Jan-22,1435,45
Marney O'Breen,UK,Caramel Stuffed Bars,19-Jul-22,1442,45
Mallorie Waber,New Zealand,Manuka Honey Choco,13-Apr-22,1456,45
Roddy Speechley,India,Peanut Butter Cubes,11-Feb-22,1456,46
Roddy Speechley,New Zealand,Milk Bars,2-Mar-22,1463,46
Ches Bonnell,Australia,White Choc,2-Mar-22,1470,46
Van Tuxwell,USA,99% Dark & Pure,28-Jul-22,1505,46
Kelci Walkden,India,After Nines,7-Jan-22,1512,46
Brien Boise,UK,White Choc,12-Apr-22,1526,46
Van Tuxwell,Canada,Almond Choco,27-Jun-22,1533,46
Jehu Rudeforth,Australia,50% Dark Bites,14-Jan-22,1540,46
Karlen McCaffrey,UK,Baker's Choco Chips,7-Feb-22,1540,46
Jehu Rudeforth,Australia,Orange Choco,23-Mar-22,1547,47
Marney O'Breen,India,Peanut Butter Cubes,10-Jan-22,1554,47
Oby Sorrel,UK,Choco Coated Almonds,17-Mar-22,1561,47
Gigi Bohling,USA,Spicy Special Slims,21-Jan-22,1575,47
Barr Faughny,Australia,White Choc,4-Jul-22,1582,47
Kaine Padly,Canada,Peanut Butter Cubes,4-Jul-22,1582,47
Dotty Strutley,USA,Manuka Honey Choco,10-Aug-22,1589,48
Dennison Crosswaite,Australia,50% Dark Bites,1-Apr-22,1603,48
Gigi Bohling,India,Raspberry Choco,22-Feb-22,1603,48
Camilla Castle,UK,White Choc,3-Jan-22,1617,49
Karlen McCaffrey,India,Drinking Coco,31-May-22,1638,49
Dotty Strutley,UK,99% Dark & Pure,3-Jan-22,1645,50
Husein Augar,New Zealand,Caramel Stuffed Bars,27-Jan-22,1652,50
Barr Faughny,UK,50% Dark Bites,28-Jan-22,1652,50
Curtice Advani,Australia,Organic Choco Syrup,28-Jun-22,1666,51
Husein Augar,UK,Choco Coated Almonds,2-Mar-22,1687,51
Wilone O'Kielt,Australia,After Nines,27-May-22,1687,51
Dennison Crosswaite,USA,Almond Choco,30-Jun-22,1687,51
Barr Faughny,Canada,Peanut Butter Cubes,7-Jun-22,1694,51
Kaine Padly,USA,70% Dark Bites,12-May-22,1694,51
Barr Faughny,New Zealand,Raspberry Choco,29-Jul-22,1715,52
Dennison Crosswaite,UK,White Choc,3-Aug-22,1722,52
Barr Faughny,India,Baker's Choco Chips,18-Aug-22,1729,52
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-Jun-22,1736,52
Beverie Moffet,UK,White Choc,30-Jun-22,1736,53
Camilla Castle,New Zealand,Mint Chip Choco,13-Jun-22,1736,53
Ches Bonnell,UK,Orange Choco,27-Apr-22,1743,53
Jan Morforth,Australia,White Choc,27-Jul-22,1743,54
Mallorie Waber,Canada,85% Dark Bars,20-Apr-22,1750,54
Rafaelita Blaksland,India,Spicy Special Slims,4-Jan-22,1750,54
Ches Bonnell,Australia,Mint Chip Choco,21-Feb-22,1750,54
Karlen McCaffrey,Australia,White Choc,5-Jan-22,1792,54
Beverie Moffet,India,Drinking Coco,15-Jul-22,1799,55
Brien Boise,Australia,Choco Coated Almonds,25-May-22,1813,55
Karlen McCaffrey,Canada,Eclairs,20-Apr-22,1827,55
Gigi Bohling,USA,99% Dark & Pure,2-Jun-22,1827,55
Marney O'Breen,UK,Smooth Sliky Salty,13-May-22,1848,55
Beverie Moffet,New Zealand,Baker's Choco Chips,3-Aug-22,1848,55
Beverie Moffet,Australia,Milk Bars,25-May-22,1862,55
Van Tuxwell,UK,Raspberry Choco,16-Mar-22,1869,56
Jan Morforth,Australia,Orange Choco,4-Jul-22,1869,56
Jehu Rudeforth,India,50% Dark Bites,5-Jul-22,1876,56
Madelene Upcott,USA,After Nines,15-Mar-22,1897,56
Barr Faughny,UK,Raspberry Choco,22-Aug-22,1904,57
Ches Bonnell,Australia,70% Dark Bites,12-Jan-22,1939,57
Marney O'Breen,UK,Baker's Choco Chips,10-Jun-22,1939,57
Kaine Padly,Australia,Peanut Butter Cubes,25-Mar-22,1946,58
Rafaelita Blaksland,India,Almond Choco,27-Jul-22,1953,58
Husein Augar,UK,Caramel Stuffed Bars,15-Apr-22,1960,58
Roddy Speechley,India,Orange Choco,27-Jun-22,1981,58
Jehu Rudeforth,UK,70% Dark Bites,14-Apr-22,2002,58
Husein Augar,Australia,Manuka Honey Choco,15-Mar-22,2016,59
Madelene Upcott,USA,Eclairs,18-Mar-22,2030,59
Brien Boise,India,Eclairs,29-Apr-22,2030,59
Mallorie Waber,New Zealand,White Choc,25-Feb-22,2030,59
Husein Augar,USA,Milk Bars,2-Mar-22,2044,59
Van Tuxwell,Australia,Milk Bars,20-Jun-22,2058,60
Beverie Moffet,Canada,White Choc,15-Jul-22,2058,60
Dotty Strutley,Australia,50% Dark Bites,12-May-22,2058,60
Mallorie Waber,New Zealand,Organic Choco Syrup,1-Jul-22,2086,60
Husein Augar,USA,85% Dark Bars,8-Aug-22,2086,60
Madelene Upcott,Australia,50% Dark Bites,25-Jul-22,2093,60
Wilone O'Kielt,UK,Drinking Coco,18-May-22,2100,61
Camilla Castle,India,Peanut Butter Cubes,15-Jul-22,2100,61
Curtice Advani,India,70% Dark Bites,5-Jul-22,2107,62
Mallorie Waber,USA,Manuka Honey Choco,4-Jul-22,2107,62
Dotty Strutley,UK,70% Dark Bites,20-Jun-22,2149,62
Gunar Cockshoot,Australia,Almond Choco,25-Jan-22,2156,62
Kaine Padly,New Zealand,Spicy Special Slims,1-Jul-22,2163,63
Gigi Bohling,USA,50% Dark Bites,13-Apr-22,2170,64
Beverie Moffet,UK,Smooth Sliky Salty,4-May-22,2191,64
Beverie Moffet,Australia,Baker's Choco Chips,4-Aug-22,2191,65
Beverie Moffet,India,70% Dark Bites,1-Jun-22,2205,65
Jehu Rudeforth,UK,Choco Coated Almonds,22-Apr-22,2219,65
Kaine Padly,USA,50% Dark Bites,3-Aug-22,2226,65
Ches Bonnell,USA,Orange Choco,10-Jun-22,2240,65
Gunar Cockshoot,UK,Manuka Honey Choco,27-Jun-22,2268,65
Marney O'Breen,Australia,Smooth Sliky Salty,3-Jan-22,2275,65
Marney O'Breen,India,After Nines,11-Jul-22,2275,66
Ches Bonnell,New Zealand,Milk Bars,17-Aug-22,2282,66
Rafaelita Blaksland,USA,Fruit & Nut Bars,18-Jan-22,2282,67
Ches Bonnell,India,Organic Choco Syrup,8-Mar-22,2282,67
Mallorie Waber,Australia,Orange Choco,7-Mar-22,2296,67
Husein Augar,India,70% Dark Bites,9-May-22,2303,67
Barr Faughny,New Zealand,85% Dark Bars,23-May-22,2303,67
Madelene Upcott,UK,Caramel Stuffed Bars,15-Apr-22,2303,67
Gigi Bohling,Australia,Drinking Coco,27-Jul-22,2303,68
Marney O'Breen,Canada,Choco Coated Almonds,22-Aug-22,2317,68
Ches Bonnell,USA,70% Dark Bites,11-May-22,2317,68
Madelene Upcott,India,Organic Choco Syrup,26-Jan-22,2317,68
Barr Faughny,USA,50% Dark Bites,14-Apr-22,2317,68
Dennison Crosswaite,New Zealand,Mint Chip Choco,5-Apr-22,2317,69
Marney O'Breen,New Zealand,Smooth Sliky Salty,14-Jun-22,2331,69
Brien Boise,Canada,Almond Choco,13-Apr-22,2345,69
Beverie Moffet,Australia,White Choc,27-Jun-22,2352,69
Dotty Strutley,Australia,Eclairs,26-Jan-22,2366,69
Barr Faughny,UK,White Choc,5-Jul-22,2380,70
Beverie Moffet,Canada,Baker's Choco Chips,11-Jan-22,2387,70
Kelci Walkden,USA,White Choc,7-Mar-22,2401,70
Kaine Padly,Canada,50% Dark Bites,4-Mar-22,2408,70
Karlen McCaffrey,Canada,Organic Choco Syrup,15-Jul-22,2415,71
Kaine Padly,UK,Peanut Butter Cubes,11-May-22,2436,72
Karlen McCaffrey,USA,Milk Bars,27-Jan-22,2443,72
Karlen McCaffrey,India,Orange Choco,27-Jun-22,2443,72
Ches Bonnell,India,Smooth Sliky Salty,3-Aug-22,2443,72
Wilone O'Kielt,New Zealand,Mint Chip Choco,19-Aug-22,2450,72
Wilone O'Kielt,Australia,Fruit & Nut Bars,15-Jun-22,2464,72
Dennison Crosswaite,UK,Peanut Butter Cubes,7-Feb-22,2464,73
Karlen McCaffrey,Australia,Almond Choco,8-Jul-22,2471,73
Dennison Crosswaite,India,Milk Bars,21-Apr-22,2478,73
Ches Bonnell,UK,Mint Chip Choco,8-Apr-22,2485,73
Husein Augar,Australia,50% Dark Bites,19-Aug-22,2492,73
Jan Morforth,India,Fruit & Nut Bars,4-May-22,2499,73
Mallorie Waber,USA,85% Dark Bars,11-May-22,2506,73
Mallorie Waber,USA,Eclairs,22-Mar-22,2520,73
Dennison Crosswaite,Canada,Spicy Special Slims,10-Aug-22,2527,74
Dennison Crosswaite,USA,Fruit & Nut Bars,4-May-22,2534,74
Kelci Walkden,USA,99% Dark & Pure,18-Aug-22,2541,74
Dotty Strutley,Canada,Raspberry Choco,3-Aug-22,2541,75
Marney O'Breen,New Zealand,Milk Bars,14-Jan-22,2541,75
Madelene Upcott,Australia,Choco Coated Almonds,8-Apr-22,2576,75
Kelci Walkden,UK,Orange Choco,1-Aug-22,2583,76
Dennison Crosswaite,Canada,Eclairs,15-Mar-22,2583,76
Karlen McCaffrey,India,Mint Chip Choco,15-Jul-22,2597,76
Barr Faughny,New Zealand,Almond Choco,13-Jan-22,2604,76
Mallorie Waber,Australia,85% Dark Bars,26-Aug-22,2611,76
Ches Bonnell,Canada,Eclairs,10-Jan-22,2632,76
Gigi Bohling,Australia,White Choc,11-May-22,2639,77
Beverie Moffet,New Zealand,85% Dark Bars,30-Aug-22,2639,77
Kaine Padly,USA,Caramel Stuffed Bars,21-Jul-22,2653,78
Mallorie Waber,Australia,Almond Choco,1-Aug-22,2660,78
Brien Boise,Canada,85% Dark Bars,17-Feb-22,2674,78
Brien Boise,Australia,Drinking Coco,27-Jul-22,2681,78
Dotty Strutley,USA,Orange Choco,23-Feb-22,2688,78
Rafaelita Blaksland,Australia,50% Dark Bites,22-Mar-22,2702,79
Dennison Crosswaite,India,99% Dark & Pure,23-Jun-22,2723,79
Curtice Advani,UK,White Choc,1-Feb-22,2723,79
Kelci Walkden,Australia,After Nines,2-Mar-22,2744,79
Gigi Bohling,UK,Fruit & Nut Bars,6-Apr-22,2751,80
Gunar Cockshoot,Australia,Raspberry Choco,17-Mar-22,2758,80
Curtice Advani,UK,Fruit & Nut Bars,24-Jun-22,2765,81
Barr Faughny,Canada,50% Dark Bites,19-Jul-22,2779,81
Curtice Advani,USA,Spicy Special Slims,11-Jul-22,2786,81
Brien Boise,India,Almond Choco,13-Jan-22,2800,81
Oby Sorrel,New Zealand,Smooth Sliky Salty,7-Jul-22,2800,82
Jan Morforth,India,85% Dark Bars,25-May-22,2807,82
Marney O'Breen,India,Fruit & Nut Bars,13-Apr-22,2807,82
Andria Kimpton,New Zealand,50% Dark Bites,2-Mar-22,2821,82
Gunar Cockshoot,Canada,Raspberry Choco,23-Jun-22,2821,83
Kelci Walkden,USA,Drinking Coco,26-Jul-22,2835,83
Van Tuxwell,Canada,White Choc,22-Mar-22,2863,83
Rafaelita Blaksland,USA,Baker's Choco Chips,9-Jun-22,2870,84
Van Tuxwell,Australia,Caramel Stuffed Bars,17-May-22,2898,84
Ches Bonnell,New Zealand,Peanut Butter Cubes,4-Mar-22,2905,84
Kelci Walkden,Canada,Milk Bars,7-Jul-22,2912,84
Dennison Crosswaite,Canada,Choco Coated Almonds,13-Jan-22,2912,84
Curtice Advani,Australia,Almond Choco,13-Jul-22,2912,84
Madelene Upcott,Australia,85% Dark Bars,16-Jun-22,2919,84
Gigi Bohling,UK,50% Dark Bites,18-Jul-22,2926,84
Ches Bonnell,UK,Manuka Honey Choco,30-May-22,2933,85
Gigi Bohling,UK,70% Dark Bites,21-Jun-22,2933,85
Jehu Rudeforth,Australia,Peanut Butter Cubes,24-Jun-22,2961,85
Marney O'Breen,India,Eclairs,13-Jan-22,2975,85
Curtice Advani,Canada,Fruit & Nut Bars,4-Apr-22,2989,85
Kaine Padly,UK,Smooth Sliky Salty,8-Jun-22,2996,85
Karlen McCaffrey,Canada,Spicy Special Slims,2-Aug-22,2996,86
Kelci Walkden,USA,Organic Choco Syrup,21-Jul-22,3003,86
Curtice Advani,India,Spicy Special Slims,20-Jun-22,3003,86
Roddy Speechley,India,After Nines,22-Jun-22,3010,87
Camilla Castle,Australia,Caramel Stuffed Bars,2-May-22,3010,87
Curtice Advani,Australia,99% Dark & Pure,7-Jan-22,3017,87
Mallorie Waber,UK,50% Dark Bites,21-Feb-22,3017,87
Ches Bonnell,Canada,Baker's Choco Chips,21-Mar-22,3024,88
Van Tuxwell,UK,Drinking Coco,4-Apr-22,3038,88
Gunar Cockshoot,Canada,Fruit & Nut Bars,24-Mar-22,3052,88
Gunar Cockshoot,New Zealand,Spicy Special Slims,28-Jun-22,3052,88
Gunar Cockshoot,Australia,Drinking Coco,14-Jan-22,3066,88
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,7-Feb-22,3073,88
Dennison Crosswaite,New Zealand,Drinking Coco,11-Jan-22,3080,88
Jehu Rudeforth,India,99% Dark & Pure,25-Feb-22,3087,89
Dotty Strutley,Australia,Mint Chip Choco,1-Aug-22,3094,89
Roddy Speechley,Australia,Mint Chip Choco,5-May-22,3094,89
Madelene Upcott,New Zealand,Raspberry Choco,18-May-22,3108,90
Dotty Strutley,New Zealand,Choco Coated Almonds,4-Jan-22,3115,90
Roddy Speechley,New Zealand,50% Dark Bites,9-May-22,3122,90
Rafaelita Blaksland,India,Smooth Sliky Salty,6-May-22,3136,91
Husein Augar,UK,White Choc,13-Jan-22,3143,91
Roddy Speechley,Australia,Almond Choco,24-Jun-22,3164,91
Van Tuxwell,USA,Caramel Stuffed Bars,14-Feb-22,3164,91
Camilla Castle,Australia,99% Dark & Pure,18-Jan-22,3171,91
Kaine Padly,India,Milk Bars,2-May-22,3171,91
Ches Bonnell,Australia,Smooth Sliky Salty,16-May-22,3178,91
Mallorie Waber,USA,Almond Choco,28-Jan-22,3185,92
Kaine Padly,Canada,99% Dark & Pure,24-Jun-22,3192,92
Oby Sorrel,UK,After Nines,18-Jul-22,3192,92
Gunar Cockshoot,UK,Eclairs,13-Apr-22,3199,92
Dotty Strutley,USA,Caramel Stuffed Bars,15-Apr-22,3213,92
Jan Morforth,India,Peanut Butter Cubes,4-Jan-22,3220,92
Husein Augar,Australia,Eclairs,4-Jul-22,3269,93
Beverie Moffet,USA,Smooth Sliky Salty,24-Mar-22,3269,93
Camilla Castle,Australia,Manuka Honey Choco,17-Mar-22,3297,93
Oby Sorrel,Australia,Almond Choco,15-Feb-22,3311,93
Jan Morforth,USA,Orange Choco,29-Jun-22,3318,94
Gigi Bohling,USA,Fruit & Nut Bars,24-May-22,3325,94
Mallorie Waber,UK,Milk Bars,10-Jan-22,3339,94
Curtice Advani,USA,Raspberry Choco,15-Mar-22,3339,94
Marney O'Breen,Canada,Milk Bars,8-Feb-22,3346,95
Brien Boise,India,Caramel Stuffed Bars,25-Feb-22,3374,96
Gunar Cockshoot,USA,Eclairs,3-May-22,3374,96
Roddy Speechley,USA,Fruit & Nut Bars,14-Jun-22,3374,96
Gunar Cockshoot,India,50% Dark Bites,9-Aug-22,3381,96
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11-Jul-22,3381,96
Kaine Padly,UK,Manuka Honey Choco,14-Jan-22,3381,96
Van Tuxwell,Canada,Manuka Honey Choco,24-Feb-22,3388,96
Wilone O'Kielt,New Zealand,Almond Choco,15-Mar-22,3388,97
Oby Sorrel,New Zealand,Baker's Choco Chips,25-Apr-22,3395,97
Dennison Crosswaite,Australia,Organic Choco Syrup,10-May-22,3402,97
Marney O'Breen,Australia,Spicy Special Slims,23-Jun-22,3402,97
Beverie Moffet,Canada,Smooth Sliky Salty,28-Feb-22,3423,98
Brien Boise,USA,Organic Choco Syrup,25-May-22,3437,98
Roddy Speechley,New Zealand,Baker's Choco Chips,22-Feb-22,3437,98
Van Tuxwell,UK,85% Dark Bars,11-Jul-22,3437,99
Marney O'Breen,Canada,Spicy Special Slims,3-Jan-22,3458,99
Rafaelita Blaksland,New Zealand,70% Dark Bites,24-Aug-22,3472,99
Beverie Moffet,USA,50% Dark Bites,28-Jul-22,3472,99
Brien Boise,USA,Mint Chip Choco,25-May-22,3472,100
Karlen McCaffrey,New Zealand,Eclairs,6-May-22,3472,100
Barr Faughny,India,Drinking Coco,28-Jan-22,3479,100
Marney O'Breen,UK,Orange Choco,6-Jun-22,3486,100
